baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PRR9	923.657769139464	-12.9510536060354	1.37008350943981	-9.4527476002764	0.00000000000000000000330051083011751	0.00000000000000000889553678933271
TDGF1	772.749261544754	-12.6937069513465	1.9926808007978	-6.37016573164371	0.000000000188824047916201	0.000000046007568207273
RSPO3	658.535563665579	-12.4629918197843	1.97424675243459	-6.31278324475665	0.000000000274061229361256	0.0000000625974428283438
PDPN	418.00412978106	-11.8072440218505	1.3891876161396	-8.49938761667163	0.0000000000000000190593477295252	0.0000000000000256843770003082
LINC00261	302.602412490789	-11.3412345943421	1.42201082808461	-7.97549102324224	0.00000000000000151776188154221	0.00000000000157333531658945
MT1G	234.71459605251	-10.9744438378967	1.46170119143711	-7.50799404295959	0.0000000000000600402367452193	0.0000000000464904123108784
TTC4	231.020415473592	-10.951555037473	3.90691515357745	-2.80312077610515	0.00506107126228131	0.0719270023924166
GPRC5B	204.691984780448	-10.7773516929748	1.46788101527175	-7.34211532191494	0.000000000000210244114152446	0.00000000012318476879645
FNDC4	203.504450586019	-10.768905240291	1.49273355465031	-7.2142179739597	0.000000000000542448054241986	0.0000000002924011991586
KIF5A	189.947559385105	-10.6694726433467	1.5497183441757	-6.88478179499245	0.00000000000578761794107275	0.00000000223605569947793
DKK1	184.493905702672	-10.6271424933588	3.90695309333447	-2.72005888974953	0.00652702910534354	0.0819293438176957
MEG3	180.93574068704	-10.5991692169791	1.53961613182669	-6.88429342735167	0.00000000000580750589802074	0.00000000223605569947793
HNF1B	176.252664703137	-10.5615856637672	1.47549472575965	-7.15799621603501	0.000000000000818648142290314	0.000000000424311629442472
CEACAM6	173.549095582399	-10.5391016368095	1.51489378657238	-6.95699047037178	0.00000000000347618462576488	0.00000000146390825052523
NEFL	163.561316211249	-10.4537745560243	1.47269094834181	-7.0984170628568	0.00000000000126193879792482	0.000000000586409904856374
EBI3	160.720523333085	-10.4285337734758	1.53334469655148	-6.80116727630111	0.0000000000103774839298301	0.00000000358581983175361
GYPC	158.028861656454	-10.4040506659268	1.62628518624112	-6.39743309103978	0.000000000158010681842205	0.0000000401764518585953
MT1H	152.409330147321	-10.3514679721664	1.47682892677947	-7.00925326181138	0.00000000000239593413234292	0.00000000104153575378881
SLC3A1	148.303518523396	-10.3122069513991	2.62921655037075	-3.92215960680187	0.0000877588249812237	0.0040363069127883
SYT13	147.204689201692	-10.3016489018121	1.59203908194665	-6.47072613896883	0.0000000000975330654119872	0.000000025974713450122
BMP2	142.802092745451	-10.2579881535569	1.56637163074901	-6.54888530421847	0.0000000000579681290922236	0.0000000162745522426418
MAN1C1	137.35492875226	-10.2017367292143	1.51617633309135	-6.72859515516502	0.0000000000171308953981634	0.00000000536874293920117
ARHGEF37	134.807123753523	-10.1746221810233	1.50512368937303	-6.75999072558724	0.0000000000138000573801718	0.00000000453584325012671
NR1H4	134.730683870281	-10.1740098087309	1.49423494080263	-6.80884212442919	0.00000000000983873751881419	0.00000000348912702114579
NANOG	121.285445099079	-10.0221012004611	1.69091326023855	-5.92703448256548	0.00000000308454223539802	0.000000546938041634523
FOXA2	118.834906433482	-9.9927772409478	1.57962454463092	-6.32604581570528	0.000000000251523164062641	0.0000000584401061880715
SPP1	118.229857979965	-9.98527773524455	1.55898162546688	-6.40500027205527	0.000000000150369112693545	0.0000000389687338972734
LEFTY2	113.159638021603	-9.92188745826524	1.57444464650848	-6.30183314495574	0.000000000294145731309204	0.0000000660651312520473
LEFTY1	111.171903964689	-9.89614260145277	1.68938266027461	-5.85784549241445	0.00000000468910591036282	0.000000780128287012955
MT1E	102.98516480961	-9.78592599895387	1.53667215220072	-6.36825882797388	0.000000000191186095251357	0.000000046007568207273
SOX17	102.362858779676	-9.77758401406588	1.5580990591673	-6.27532887369264	0.000000000348896027415542	0.0000000770774240238006
CHST3	100.106298788574	-9.74536538993813	1.58467922495184	-6.1497401092226	0.000000000776100121037674	0.000000163417581735995
CDH2	93.0989922407595	-9.6405527496102	1.58228147233298	-6.09281781919356	0.00000000110940294090185	0.000000223139015396915
PRUNE2	91.4752739579523	-9.61533045718882	1.64316810787803	-5.85170221542699	0.00000000486567225296572	0.000000799631698548367
PNMA2	89.2992333194898	-9.58062291666005	1.74783433311326	-5.48142506137579	0.0000000421913433021505	0.00000526454205870167
TNFRSF1B	652.561718149976	-9.53735571920865	0.968117981882072	-9.85143949156644	0.0000000000000000000000675691982375397	0.000000000000000000303520838483028
RHOXF2	86.0276041107729	-9.5265092554678	1.62472949267036	-5.86344329837351	0.00000000453365711507409	0.000000780128287012955
CDH11	82.7596876122424	-9.47103989812058	1.62863552487539	-5.81532193880224	0.00000000605173014587113	0.000000959448417008934
CA4	82.1396966958842	-9.45983840988686	1.58904219297053	-5.9531700616475	0.00000000262997760054595	0.000000478940245202124
CPN1	81.6511863540408	-9.4513504829036	1.54639358081365	-6.11186608646596	0.000000000984728014417986	0.000000201063556398436
HABP2	76.2783524681367	-9.3533932465916	1.73030875690598	-5.40562093861023	0.0000000645842550951946	0.00000770210107666233
SALL1	76.1505207681643	-9.35051364121371	3.9072211274774	-2.39313653774457	0.0167050232518567	0.134237861265367
GPC4	67.7687673592618	-9.18228892779192	1.59147877535698	-5.7696584271017	0.00000000794323710711665	0.00000123038003741959
GCKR	67.7163547457932	-9.1811897245736	3.9072779649812	-2.34976620728282	0.0187852059817243	0.143390575281613
CEBPE	66.2884838332836	-9.15067964082755	1.61048179435468	-5.68195162025673	0.0000000133166334884837	0.00000186932242594589
FOXF2	65.9747091257525	-9.14349041015639	1.60051120932627	-5.71285621548711	0.0000000111095543141321	0.00000164519070260707
PTPRD	65.6531395088182	-9.13650020275402	3.90729411223775	-2.33831903621953	0.0193707042294497	0.145636335044599
CCDC80	62.6270462897293	-9.06848098191936	3.90731966922197	-2.32089558818337	0.020292479724074	0.149148197033213
TNFRSF8	62.3506952845197	-9.06194411155535	1.62100819604555	-5.59031356760685	0.0000000226659925575805	0.00000308532238086823
SOAT2	61.7784184995244	-9.04919537288196	1.72131270151321	-5.25714785287227	0.000000146306685029275	0.0000160295031500367
TM4SF1	61.314622425094	-9.03790418142145	3.90733155632441	-2.3130630332081	0.0207191737939147	0.150584329186665
VENTX	58.8858074116574	-8.97954970906473	1.69732430821595	-5.29041484034546	0.000000122039235722464	0.0000137292973370949
RTP3	58.4234448213173	-8.96811746058861	1.64284171680717	-5.45890536430861	0.0000000479079014131813	0.00000592299889398194
TMEM40	56.2830562551542	-8.91488436024982	1.81839956825565	-4.9025992503956	0.000000945768027817973	0.0000838498022557566
SLC1A6	54.4729247282588	-8.867027610127	1.7098017733698	-5.1859974344577	0.000000214861766467663	0.0000223982482138151
NES	54.184484917864	-8.85912649721916	1.87386778514773	-4.7277222904607	0.00000227052433976187	0.000179985800015476
PMEPA1	52.9780124213798	-8.82676700906012	1.80312519499546	-4.89526020353918	0.000000981757395913715	0.0000864716514204786
NGEF	52.2775173300659	-8.80786416930451	3.90742954137795	-2.25413256362863	0.0241878296365829	0.163059125654123
SLC2A1-AS1	51.8328295478763	-8.79564388628734	1.71279774356813	-5.13524957591555	0.000000281769847024775	0.0000281268922852287
LEMD1	51.7027844695603	-8.79240272606404	1.87088431283547	-4.69959722562346	0.00000260675097227874	0.00019959418240016
VCAN	539.940479038771	-8.78697038220368	0.928258602309999	-9.46608020689175	0.00000000000000000000290542311307609	0.00000000000000000889553678933271
DUSP9	50.5155660942504	-8.75873109379848	1.80188674700699	-4.860866593501	0.00000116872997500672	0.000101611646085101
ADD2	48.8493971098903	-8.7101403570205	1.68562953343797	-5.16729220996473	0.000000237509784063828	0.0000242475897730617
CRHBP	48.7154469517936	-8.70621051132351	1.68766584158964	-5.1587288767562	0.000000248632040318207	0.0000250042192188669
CDCA7L	47.9846562595535	-8.6837638780177	1.88769444958286	-4.60019569371336	0.00000422094218893053	0.000307467118583935
C5orf42	46.7848431724748	-8.64799330680854	1.87649540223755	-4.60858752784397	0.00000405413701115758	0.000298543991051145
CLVS2	46.3166581684699	-8.63373319421764	1.88405530230871	-4.58252641715872	0.00000459391651194432	0.000327553539232601
ALCAM	44.3070590824895	-8.56925179373101	3.90754910839201	-2.19299912964045	0.0283074417995792	0.177220401512859
CD22	44.2651759333888	-8.56833148062282	1.75826922013517	-4.87316241591498	0.00000109825860061017	0.0000961047591027443
ARSE	44.138051078192	-8.56361327711534	3.9075521798544	-2.19155442664733	0.028411695700688	0.177351573371701
CD44	43.9831239519316	-8.55851974902642	1.86629915056481	-4.58582416781163	0.00000452199054636241	0.000325873500549625
SLC47A1	42.1293177987782	-8.49634611493329	1.7889095607129	-4.74945536740684	0.00000203965204458519	0.000162641129898402
ANO3	42.0585324960742	-8.49442200977168	1.75102172903216	-4.85112312938961	0.00000122764299917355	0.000106049468313223
PLA1A	41.9227799574965	-8.4897379539306	1.79741339578374	-4.72330849088211	0.00000232038461344744	0.000182862590940454
LIMCH1	41.8114589523973	-8.4855555128633	1.88239871683057	-4.50784174308756	0.00000654903939085939	0.000445731590056672
FGA	41.0619264769847	-8.45988574440199	1.77418007339926	-4.76833545322894	0.00000185754300374044	0.000151710603141856
CXCL12	40.7874019737505	-8.45018172220763	1.89215858628173	-4.465895080609	0.0000079734681121327	0.000514117015689475
PPP1R26	40.4888988587049	-8.43929955106742	1.83354797080181	-4.60271543775151	0.00000417017830250697	0.000305420232633608
KLF17	40.4092408933232	-8.43640519997647	1.76776238257062	-4.7723637990919	0.00000182076235072444	0.000149613374624162
HPD	40.2440429151347	-8.43043322128108	3.90762832868911	-2.15742965096919	0.0309722029964765	0.183844616725364
KCNA4	40.202758266492	-8.42904532576787	3.90762915983414	-2.1570740162369	0.0309998978084159	0.183844616725364
SPATS1	39.7481375082842	-8.41299999637185	1.81988875456449	-4.62281003455353	0.00000378576385064061	0.000281861622382502
FMO5	38.543781074221	-8.36822401504424	3.9076663792222	-2.14148885880833	0.0322346359829981	0.1859559581501
GPX2	1783.08598968767	-8.36574266442469	0.799091780854197	-10.4690635855146	0.00000000000000000000000011982241011686	0.000000000000000000000807363399367402
SOX2	38.1664681430008	-8.35400091021146	3.90767531166331	-2.13784417688878	0.0325293921906091	0.186775057067219
LGI2	38.1325410548703	-8.35296146289094	1.90752628777243	-4.37894959374078	0.0000119252708244665	0.000723896169506807
FGG	37.6413801833387	-8.33436174503132	1.81583086182889	-4.58983373409406	0.00000443599216543936	0.000321394787212155
LRFN5	37.1104411242572	-8.3137737362592	2.0017090276102	-4.15333778365622	0.0000327660514239086	0.00176888545875694
KLK13	36.5487402519364	-8.29143610833373	3.90771566626245	-2.12181151763892	0.033853569059286	0.190564430957085
TM6SF2	35.8936800658892	-8.26584759115656	2.29217335659003	-3.60611799600241	0.000310811849406324	0.0111991991513359
TCTE1	34.4692614365644	-8.20734287913049	2.28141660137915	-3.59747661789128	0.000321319370884504	0.0115162229841478
SLMO2-ATP5E	34.4569453094421	-8.2062742977791	2.23212650690207	-3.67643781497333	0.000236513475083404	0.00934679058716703
HAPLN3	34.3635043776406	-8.20275826930595	1.96916427315149	-4.16560384582749	0.0000310529530213184	0.00168737739885196
GSC	33.5869341501881	-8.16935824993464	2.24570231391228	-3.63777433871128	0.000275004206166336	0.0103518343080937
ARHGEF15	33.2048347072483	-8.1530012004441	2.24494792941347	-3.63171060389547	0.000281548752844202	0.0104994718758572
CDH5	33.1503017569995	-8.15081051217798	1.86351520931244	-4.3738899856821	0.0000122051904476346	0.00073756567924809
FAM162B	32.9974707735496	-8.14449952937624	1.97039153211653	-4.13344221015184	0.0000357370184513307	0.00190352593142345
FRZB	190.077802032193	-8.12113734613945	1.35094365126086	-6.01145528058099	0.00000000183865234439936	0.00000035396684275894
NRG1	32.3062174388505	-8.11352032343438	2.25946747266568	-3.59089936969183	0.000329538861124626	0.0116981136494264
BCRP3	32.2574671355206	-8.11126974929555	1.88486895944591	-4.30336003394103	0.0000168227140486302	0.000989968971700177
THEM5	31.9648724715246	-8.0985966891787	2.00950284911532	-4.03014939378866	0.0000557414143880015	0.0027924583654004
VSNL1	31.5916038399332	-8.08123731946245	1.96262403054323	-4.11756770206552	0.0000382892066606005	0.00201556776936818
AP1S2	29.1574765411787	-7.96603759322397	2.32760230556952	-3.42242210972326	0.000620658775694811	0.0185866614694739
ZNF462	28.8903029893714	-7.95228859285177	2.31581184462131	-3.43390962928259	0.000594942511947132	0.018057309213963
GATA4	606.486951099696	-7.94293861255623	1.89381513938599	-4.19414675031666	0.0000273900625032367	0.00151273968153122
LGALS13	28.338853049368	-7.92467094441663	1.96705399696346	-4.02870025766955	0.0000560860735265224	0.00279931824756821
DDC	27.4233362700957	-7.87749481958373	2.41939944508895	-3.25597116076635	0.0011300522907698	0.0284115385642048
SBSN	27.3872137111239	-7.87508546452842	1.99260627695928	-3.95215329570566	0.0000774510966524304	0.00364940901569284
LOC151475	27.0955379110865	-7.85999056201889	1.9703130509666	-3.98920900319008	0.0000662939912635467	0.00320207106189088
HBZ	26.899995476464	-7.84985497103014	2.0597367183972	-3.81109629250993	0.000138351857518994	0.00603375285412934
PAEP	26.0677260483059	-7.80407831140183	1.97717205404833	-3.94709114739038	0.0000791064469216398	0.00370152249554173
LINC00086	25.6852643905361	-7.78268599345547	1.98275089916667	-3.92519604793846	0.0000866591311994154	0.00400696898137522
