baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IGFALS	20.8318807896577	21.4943469951028	2.86454523290434	7.50358093431461	0.0000000000000620976121694725	0.0000000000464904123108784
TDRD9	18.6603282011686	21.3386975729902	2.94211992740642	7.25283064575855	0.00000000000040815029832172	0.000000000229176392507646
CHADL	16.4210888170284	21.1632841372694	3.04450784914662	6.95129892445554	0.00000000000361938020045846	0.00000000147802326004176
NPEPL1	15.9620904751923	21.1234364382424	3.07185286025934	6.8764479938206	0.00000000000613633221267997	0.0000000022970336916132
ALOX12B	15.1770669369505	21.0517997401254	3.11180964824011	6.76513094302901	0.0000000000133188685013735	0.00000000448712679811275
C15orf38-AP3S2	309.544662092075	9.69489446147637	3.54659953740726	2.7335746139988	0.00626509266590128	0.0806383846854686
EIF3C	3410.57975629117	9.02813073182332	2.3952985303792	3.76910460943425	0.000163834217174716	0.00691763931979475
NFATC4	36.6669222466316	8.9961161723379	3.90835623619233	2.30176463676255	0.0213484488367271	0.152865315651251
CXCL17	30.9326338590749	8.75443117476357	2.32483016280034	3.76562181394728	0.000166135100450101	0.00697456888992387
FOXD4L1	25.7790274420102	8.48650123621277	2.44214513351536	3.47501920330051	0.00051081678208123	0.0160460768189433
DENND3	24.4003838922285	8.40693562809571	2.09328906974662	4.01613697295678	0.0000591598798673752	0.00292028769631043
MLXIPL	23.3009730392752	8.34134105932038	2.04485873993421	4.07917715606544	0.0000451953867850966	0.00235831812355255
C11orf45	20.7683271132437	8.17404698611698	2.21459495648525	3.69098961513481	0.000223383258700607	0.00901291255763287
GPR4	20.0605570457991	8.12672508638658	2.49672092720948	3.25495933398916	0.00113408603379291	0.0284569940354764
RARG	19.0243192615311	8.05233338334208	2.22317250891114	3.62200114973801	0.000292332821906526	0.0107051008369901
C11orf88	18.9655689347949	8.04218044625529	2.28038920955434	3.52667010199851	0.000420820749299048	0.0139679320629408
ETS1	18.653766493923	8.02461206757717	2.24399006846836	3.57604616006807	0.000348830084063107	0.012084406716798
MAGEA11	18.6838423491437	8.02054413085836	2.27605806720355	3.52387500408226	0.000425284821943316	0.0140469075012454
RNF113B	18.6021078017877	8.0161749071994	2.60452745285791	3.07778476222371	0.00208545482574445	0.0430376557913204
MYOD1	17.7339462821485	7.9476334063124	2.61309261371276	3.04146640827252	0.00235428833265758	0.0470020586235461
EVPL	17.0104565821777	7.88542800324863	2.66805667668948	2.95549493837322	0.00312167819281459	0.0540022276333369
GPD1	16.9051984627079	7.87706995419034	2.29058669558296	3.43888749960002	0.000584109916436068	0.0178491275144954
ARC	16.5799087975573	7.85006457805739	2.692377656645	2.91566250324608	0.00354934215364768	0.0585207163965764
ACAD11	16.1723660018908	7.81917923173852	2.6771892427628	2.92066735770584	0.00349282541672484	0.0580386132130505
LLGL1	14.8968534883554	7.69475855344943	2.77707428898392	2.77081480462116	0.00559162196583555	0.0755794359193579
FLJ20021	14.4330542547756	7.64870548423177	2.77707764514838	2.7542281713276	0.00588307375531769	0.0777854262575745
NEFM	14.0482925337633	7.61085708100593	2.7872333829868	2.73061349202489	0.00632165626045753	0.0806711771384819
SAMD4A	13.881019559138	7.59466224976302	2.42986230261097	3.12555252270974	0.00177471374757644	0.0390147511620556
TH	13.7977392243188	7.58376975105657	3.2014681898624	2.36884120075624	0.0178439130369384	0.138916563885489
WBSCR28	13.5271953179596	7.55518469411767	3.22005449325298	2.34629094319619	0.0189612999168089	0.144037473325207
PNMA5	13.4539720993096	7.54864120210768	2.85834890067308	2.64090965253757	0.00826837654574235	0.0930865850713651
TRPM2	13.4089799015663	7.54416988514743	2.84146808522403	2.65502538085084	0.00793024415400561	0.0902862395896789
IFI35	13.1866319288258	7.51945362508923	3.2407932847331	2.32025092760845	0.0203273070580829	0.149148197033213
C9orf24	13.1866319288258	7.51945362508923	3.2407932847331	2.32025092760845	0.0203273070580829	0.149148197033213
FOXE1	12.6786086791649	7.46479009930435	2.50152065881131	2.98410091997862	0.00284412947059568	0.0520047337120046
DDX11L2	12.3657439256483	7.42865742034816	2.56488068227579	2.8962974658754	0.00377594290263908	0.0604871201355664
MGC45922	12.2772143326081	7.41523491242594	2.57269272876094	2.88228548614792	0.00394801853071613	0.062042011462891
LOC284023	12.1914144247635	7.40620362807714	3.31818182821713	2.23200656609481	0.0256145289679699	0.168053258214393
TLR5	11.5165314586132	7.33028902984373	3.00665518654918	2.43802118135698	0.0147679086541287	0.126759450333145
DENND6B	11.1961969207012	7.2833051986065	3.40661581995127	2.13798842709263	0.0325176825215963	0.186775057067219
NPHP3	11.0929843235769	7.27108724510091	3.00314664487475	2.42115624207361	0.0154712260261839	0.129167833456745
CD99	10.69858816867	7.21769490122965	3.45579575851282	2.08857681575943	0.036745833974124	0.197970524454738
CLDN1	10.6040643620149	7.20682361206327	2.6775426704527	2.69158123662874	0.00711141765478545	0.0855655931391863
PRR15L	10.2539737840671	7.1628315505464	3.11712356889127	2.29789785109294	0.0215676036322163	0.153617878725025
JPH2	10.2169021951307	7.15587894360293	3.07306493147241	2.32858045735282	0.0198813023536022	0.147377789365055
RSPH9	10.2285589251025	7.15347756506366	2.69424479352628	2.65509562540568	0.0079285929275718	0.0902862395896789
LRRTM4	10.0302901360337	7.13012513406569	3.11598312271921	2.28824253959485	0.0221234006681866	0.156193703204854
SMOC2	9.97275635743705	7.1154074656477	2.75586939017483	2.58191026433089	0.00982551292711193	0.103615804777496
SRRM5	9.95217504062328	7.11332361380516	3.53695448171435	2.01114366910296	0.0443102837339203	0.220667177974246
CDH26	9.77979516119886	7.09430752957999	3.16505640398893	2.2414474259097	0.02499710741364	0.166023173733964
RHNO1	9.67960883818685	7.07921038202356	3.54653750579245	1.99609065756708	0.0459240557603617	0.225701158069524
HIST1H3A	9.62865999310414	7.06411142198924	2.8965561016439	2.43879668616813	0.0147362565732277	0.126729925705691
SEC24B-AS1	9.47876459941723	7.04544785267769	2.76966933207316	2.54378664308061	0.0109658042461864	0.108672808959016
C1orf158	9.38311768757361	7.03010787736639	3.16853148493955	2.21872748015332	0.0265052703079744	0.170494044234016
P2RY6	290.872936207741	7.01862923382256	2.79120592400865	2.51455085182057	0.011918411322794	0.113346867315435
