Region	dr_24hpf_tet3_Distal_1OD
chr10_10012993_10013249	0.948333333333
chr10_10066690_10067066	0.85
chr10_10066719_10067025	0.807142857143
chr10_10134882_10135114	0.013
chr10_1016467_1016712	0.904
chr10_10185380_10185725	0.794166666667
chr10_10185406_10185756	0.794166666667
chr10_10217353_10217632	0.301333333333
chr10_10217372_10217656	0.301333333333
chr10_10217386_10217649	0.301333333333
chr10_10220406_10220914	0.198461538462
chr10_1026268_1026524	0.9075
chr10_10276272_10276645	0.660625
chr10_10276315_10276605	0.6635
chr10_10276327_10276650	0.615
chr10_10284976_10285538	0.495555555556
chr10_10285056_10285428	0.448333333333
chr10_10285056_10285556	0.448333333333
chr10_10296229_10296766	0.00395833333333
chr10_10296405_10296752	0.00363636363636
chr10_10298039_10298457	0.0193939393939
chr10_10298079_10298449	0.0193939393939
chr10_10306922_10307159	0.698333333333
chr10_10345795_10346137	0.872916666667
chr10_10345809_10346123	0.872916666667
chr10_10405399_10405652	0.932857142857
chr10_10442989_10443181	0.93
chr10_10460682_10460910	0.948333333333
chr10_1051433_1051685	0.836
chr10_10607805_10608064	0.888333333333
chr10_1067306_1067708	0.983181818182
chr10_10680041_10680267	0.723333333333
chr10_10680051_10680260	0.723333333333
chr10_10803101_10803438	0.515
chr10_10803124_10803388	0.515
chr10_1081321_1081597	0.438
chr10_10846573_10846841	0.935
chr10_10852089_10852303	0.7985
chr10_10852090_10852362	0.811666666667
chr10_10860727_10861089	0.638823529412
chr10_10860737_10861021	0.61625
chr10_10863041_10863356	0.454
chr10_10868838_10869435	0.634137931034
chr10_10888672_10889033	0.687
chr10_10888759_10889066	0.623333333333
chr10_10922767_10923077	0.61
chr10_10931469_10931769	0.184761904762
chr10_10981547_10981984	0.758888888889
chr10_11356444_11356686	0.980769230769
chr10_11378315_11378513	0.135
chr10_11433089_11433330	0.983333333333
chr10_11455558_11455875	0.71
chr10_11456806_11456969	0.97
chr10_11456811_11457048	0.9375
chr10_11485867_11486611	0.960625
chr10_11485874_11486559	0.959333333333
chr10_1154773_1155050	0.777727272727
chr10_1173398_1173794	0.912222222222
chr10_11866639_11866938	0.180909090909
chr10_11866777_11866932	0.147857142857
chr10_11969746_11969932	0.97
chr10_11970169_11970290	0.4
chr10_11970171_11970330	0.4
chr10_11972134_11972311	0.8875
chr10_12046721_12046993	0.8275
chr10_12046722_12046908	0.84
chr10_12046776_12046957	0.84
chr10_1212017_1212267	0.203333333333
chr10_12186119_12186321	0.8425
chr10_12192979_12193215	0.945714285714
chr10_12266677_12266877	0.96
chr10_12266692_12266881	0.96
chr10_12275243_12275463	0.97
chr10_1227723_1228128	0.957931034483
chr10_1227739_1228032	0.956538461538
chr10_1227765_1228247	0.923111111111
chr10_12301008_12301214	0.6775
chr10_12358156_12358567	0.958095238095
chr10_12368811_12369050	0.935
chr10_12431600_12431885	0.688333333333
chr10_12488870_12489092	0.96
chr10_12492796_12493083	0.927
chr10_12492849_12493252	0.9325
chr10_12492855_12493072	0.927
chr10_12541627_12541940	0.92
chr10_12599641_12599971	0.961
chr10_12720283_12720664	0.951304347826
chr10_12809595_12809910	0.657
chr10_12815200_12815503	0.947368421053
chr10_12926324_12926416	0.98125
chr10_12936792_12937169	0.972
chr10_13013528_13013716	0.976363636364
chr10_13018808_13018892	0.86
chr10_13018808_13018895	0.86
chr10_13018813_13018894	NA
chr10_13022648_13022745	0.905
chr10_13022651_13022752	0.905
chr10_13022657_13022743	0.905
chr10_13044860_13044938	0.87
chr10_13044862_13044932	0.87
chr10_13044864_13044932	0.87
chr10_1304590_1304828	0.73
chr10_13069695_13069928	0.9825
chr10_13163039_13163232	0.91
chr10_13289457_13289782	NA
chr10_13442284_13442493	0.9375
chr10_13451413_13451625	0.965
chr10_13496226_13496407	0.745
chr10_13517986_13518434	0.785
chr10_13708175_13708762	1.0
chr10_1371002_1371294	0.966666666667
chr10_13744425_13744712	0.898333333333
chr10_13929828_13929952	0.9175
chr10_14012360_14012602	0.770714285714
