Region	dr_24hpf_tet123_Distal_1OD
chr10_10012993_10013249	0.883333333333
chr10_10066690_10067066	0.93875
chr10_10066719_10067025	0.948333333333
chr10_10134882_10135114	0.0
chr10_1016467_1016712	1.0
chr10_10185380_10185725	0.923333333333
chr10_10185406_10185756	0.923333333333
chr10_10217353_10217632	0.203333333333
chr10_10217372_10217656	0.203333333333
chr10_10217386_10217649	0.203333333333
chr10_10220406_10220914	0.306451612903
chr10_1026268_1026524	0.863333333333
chr10_10276272_10276645	0.825
chr10_10276315_10276605	0.7625
chr10_10276327_10276650	0.812307692308
chr10_10284976_10285538	0.75
chr10_10285056_10285428	0.751428571429
chr10_10285056_10285556	0.751428571429
chr10_10296229_10296766	0.0
chr10_10296405_10296752	0.0
chr10_10298039_10298457	0.003
chr10_10298079_10298449	0.003
chr10_10306922_10307159	0.67
chr10_10345795_10346137	0.899130434783
chr10_10345809_10346123	0.899130434783
chr10_10405399_10405652	0.951428571429
chr10_10442989_10443181	0.94
chr10_10460682_10460910	1.0
chr10_1051433_1051685	0.975
chr10_10607805_10608064	0.894545454545
chr10_1067306_1067708	0.979
chr10_10680041_10680267	0.576666666667
chr10_10680051_10680260	0.576666666667
chr10_10803101_10803438	0.79
chr10_10803124_10803388	0.79
chr10_1081321_1081597	0.618181818182
chr10_10846573_10846841	0.947647058824
chr10_10852089_10852303	0.9455
chr10_10852090_10852362	0.94375
chr10_10860727_10861089	0.907222222222
chr10_10860737_10861021	0.898125
chr10_10863041_10863356	0.730769230769
chr10_10868838_10869435	0.905172413793
chr10_10888672_10889033	0.852
chr10_10888759_10889066	0.701666666667
chr10_10922767_10923077	0.86625
chr10_10931469_10931769	0.331666666667
chr10_10981547_10981984	0.83125
chr10_11356444_11356686	0.9025
chr10_11378315_11378513	0.325
chr10_11433089_11433330	0.959411764706
chr10_11455558_11455875	0.89
chr10_11456806_11456969	0.935
chr10_11456811_11457048	0.925
chr10_11485867_11486611	0.965
chr10_11485874_11486559	0.9675
chr10_1154773_1155050	0.840666666667
chr10_1173398_1173794	0.948888888889
chr10_11866639_11866938	0.575238095238
chr10_11866777_11866932	0.587857142857
chr10_11969746_11969932	0.945
chr10_11970169_11970290	1.0
chr10_11970171_11970330	1.0
chr10_11972134_11972311	0.94
chr10_12046721_12046993	0.88
chr10_12046722_12046908	0.865
chr10_12046776_12046957	0.865
chr10_1212017_1212267	0.208333333333
chr10_12186119_12186321	0.9225
chr10_12192979_12193215	0.912142857143
chr10_12266677_12266877	0.95
chr10_12266692_12266881	0.95
chr10_12275243_12275463	0.9075
chr10_1227723_1228128	0.930869565217
chr10_1227739_1228032	0.9295
chr10_1227765_1228247	0.915
chr10_12301008_12301214	0.8175
chr10_12358156_12358567	0.9865625
chr10_12368811_12369050	1.0
chr10_12431600_12431885	0.86
chr10_12488870_12489092	0.96125
chr10_12492796_12493083	0.965
chr10_12492849_12493252	0.960833333333
chr10_12492855_12493072	0.965
chr10_12541627_12541940	0.98
chr10_12599641_12599971	0.905
chr10_12720283_12720664	0.957368421053
chr10_12809595_12809910	0.862333333333
chr10_12815200_12815503	0.963157894737
chr10_12926324_12926416	0.965833333333
chr10_12936792_12937169	0.9625
chr10_13013528_13013716	0.934166666667
chr10_13018808_13018892	0.84
chr10_13018808_13018895	0.84
chr10_13018813_13018894	NA
chr10_13022648_13022745	0.915
chr10_13022651_13022752	0.915
chr10_13022657_13022743	0.915
chr10_13044860_13044938	0.93
chr10_13044862_13044932	0.93
chr10_13044864_13044932	0.93
chr10_1304590_1304828	0.737826086957
chr10_13069695_13069928	0.9688
chr10_13163039_13163232	0.98
chr10_13289457_13289782	NA
chr10_13442284_13442493	0.94
chr10_13451413_13451625	0.971
chr10_13496226_13496407	0.847
chr10_13517986_13518434	0.78
chr10_13708175_13708762	0.855
chr10_1371002_1371294	0.882222222222
chr10_13744425_13744712	0.96
chr10_13929828_13929952	0.935
chr10_14012360_14012602	0.824285714286
chr10_14055179_14055402	0.945
chr10_14055200_14055407	0.981
chr10_14076875_14077322	0.92
chr10_14146031_14146258	0.882142857143
chr10_14164675_14164895	0.959166666667
chr10_14172685_14172880	0.955625
chr10_14172714_14172894	0.9525
chr10_14230347_14230639	0.962
chr10_14259753_14260061	0.943333333333
chr10_14259830_14260258	0.961111111111
chr10_14422482_14422860	0.975625
chr10_14647328_14647486	0.8325
chr10_14790224_14790810	0.108703703704
chr10_14790373_14790745	0.126333333333
chr10_14790436_14790707	0.125454545455
chr10_14839989_14840301	0.869166666667
chr10_14840028_14840284	0.86
chr10_15138749_15138968	0.277777777778
chr10_15138749_15138970	0.277777777778
chr10_15203366_15203524	0.94
chr10_15211233_15211726	0.976486486486
chr10_15211253_15211589	0.9724
chr10_15213135_15213439	0.0330769230769
chr10_15213153_15213525	0.0371428571429
chr10_1523693_1523926	0.837
chr10_15391403_15391732	0.894285714286
chr10_15407133_15407394	0.960666666667
chr10_15469137_15469348	0.735
chr10_15478340_15478544	0.3185
chr10_15478374_15478591	0.320833333333
chr10_15524587_15524921	0.916666666667
chr10_15524640_15524945	0.911111111111
chr10_15585757_15585959	0.98
chr10_15585780_15585980	0.956666666667
chr10_1559755_1559983	1.0
chr10_15617386_15617672	0.955714285714
chr10_1568728_1568927	0.935833333333
chr10_1568764_1568950	0.935833333333
chr10_1575917_1576497	0.935
chr10_15811940_15812202	0.963333333333
chr10_1584056_1584262	0.925454545455
chr10_15867400_15867882	0.955753424658
chr10_1617502_1617762	0.0
chr10_1617779_1618102	0.00368421052632
chr10_16220842_16221220	0.979130434783
chr10_16243258_16243509	0.94
chr10_16243298_16243558	0.93
chr10_16260912_16261191	0.916666666667
chr10_1631942_1632087	0.855
chr10_16334083_16334240	0.0954545454545
chr10_16334086_16334238	0.0954545454545
chr10_16334091_16334240	0.0954545454545
chr10_16339028_16339250	0.927857142857
chr10_16346423_16346703	0.958333333333
chr10_16635568_16635839	0.948
chr10_16728927_16729185	0.971363636364
chr10_16736274_16736478	0.065
chr10_16736292_16736478	NA
chr10_16738190_16738431	0.885
chr10_16738191_16738416	0.885
chr10_16738217_16738485	0.885
chr10_16745763_16745949	0.52
chr10_16745763_16746001	0.52
chr10_16745764_16746021	0.52
chr10_16757629_16757849	0.935
chr10_16759847_16760125	0.206086956522
chr10_16759850_16760128	0.2096
chr10_16777041_16777750	0.732
chr10_16777060_16777757	0.732
chr10_16777262_16777647	0.85
chr10_16781046_16781405	0.853333333333
chr10_16798538_16799010	0.681666666667
